rho,p,T,U,V,W
 9.054010000000000E-001, 7.764910000000001E+004, 2.987160000000000E+002, 9.139740000000000E+002, 1.919490000000000E+002,-4.977500000000000E-010
 8.723550000000000E-001, 6.860400000000000E+004, 2.739180000000000E+002, 9.551760000000000E+002, 1.594290000000000E+002,-5.776570000000000E-010
 9.166830000000000E-001, 6.698200000000000E+004, 2.545090000000000E+002, 9.827780000000000E+002, 1.345450000000000E+002,-8.448120000000000E-010
 9.932000000000000E-001, 6.660760000000001E+004, 2.335880000000000E+002, 1.001160000000000E+003, 1.258260000000000E+002,-1.188650000000000E-009
 1.051180000000000E+000, 6.268130000000000E+004, 2.076960000000000E+002, 1.012340000000000E+003, 1.227360000000000E+002,-1.132740000000000E-009
 1.158090000000000E+000, 6.016380000000000E+004, 1.809500000000000E+002, 1.022850000000000E+003, 1.223920000000000E+002,-7.884630000000000E-010
 1.436400000000000E+000, 6.562130000000000E+004, 1.591230000000000E+002, 1.026090000000000E+003, 1.348340000000000E+002,-4.234970000000000E-010
 1.806830000000000E+000, 7.398360000000001E+004, 1.426200000000000E+002, 1.020930000000000E+003, 1.356570000000000E+002,-1.837530000000000E-010
 2.000460000000000E+000, 7.605700000000000E+004, 1.324260000000000E+002, 1.001330000000000E+003, 1.256870000000000E+002,-2.945840000000000E-011
 2.020740000000000E+000, 7.458289999999999E+004, 1.285560000000000E+002, 9.927850000000000E+002, 1.226080000000000E+002,-1.162630000000000E-011
 2.012570000000000E+000, 7.361520000000000E+004, 1.274030000000000E+002, 9.907520000000000E+002, 1.215190000000000E+002,-4.294160000000000E-012
 1.994150000000000E+000, 7.272320000000000E+004, 1.270220000000000E+002, 9.897760000000000E+002, 1.201120000000000E+002, 7.123050000000000E-013
 1.988790000000000E+000, 7.256710000000001E+004, 1.270910000000000E+002, 9.899490000000000E+002, 1.187190000000000E+002, 4.906010000000000E-013
 1.990910000000000E+000, 7.274210000000001E+004, 1.272620000000000E+002, 9.906530000000000E+002, 1.180610000000000E+002,-4.926830000000000E-013
 2.002050000000000E+000, 7.327400000000000E+004, 1.274790000000000E+002, 9.918990000000000E+002, 1.181590000000000E+002,-3.195520000000000E-012
 2.012330000000000E+000, 7.367160000000001E+004, 1.275160000000000E+002, 9.922710000000000E+002, 1.189960000000000E+002,-1.702330000000000E-012
 2.017040000000000E+000, 7.372720000000000E+004, 1.273150000000000E+002, 9.920100000000000E+002, 1.205810000000000E+002,-2.981010000000000E-012
 2.016730000000000E+000, 7.345730000000000E+004, 1.268680000000000E+002, 9.915690000000000E+002, 1.229180000000000E+002,-4.568710000000000E-013
 2.022350000000000E+000, 7.351150000000000E+004, 1.266090000000000E+002, 9.910460000000000E+002, 1.246050000000000E+002,-1.763340000000000E-012
 2.039040000000000E+000, 7.412870000000000E+004, 1.266260000000000E+002, 9.904080000000000E+002, 1.241670000000000E+002, 4.148860000000000E-013
 2.049370000000000E+000, 7.447080000000000E+004, 1.265700000000000E+002, 9.899540000000000E+002, 1.228890000000000E+002,-2.327180000000000E-013
 2.055530000000000E+000, 7.460580000000000E+004, 1.264190000000000E+002, 9.897130000000000E+002, 1.211810000000000E+002,-5.769990000000000E-013
 2.060410000000000E+000, 7.467380000000000E+004, 1.262340000000000E+002, 9.897900000000000E+002, 1.191820000000000E+002, 8.510580000000000E-013
 2.064500000000000E+000, 7.470900000000000E+004, 1.260440000000000E+002, 9.901900000000001E+002, 1.169140000000000E+002,-9.233349999999999E-013
 2.065810000000000E+000, 7.461210000000001E+004, 1.258010000000000E+002, 9.908750000000000E+002, 1.142980000000000E+002, 8.133550000000000E-013
 2.061560000000000E+000, 7.422010000000001E+004, 1.253980000000000E+002, 9.917290000000000E+002, 1.108870000000000E+002,-1.236340000000000E-012
 2.044780000000000E+000, 7.319230000000000E+004, 1.246760000000000E+002, 9.923640000000000E+002, 1.072010000000000E+002, 2.505720000000000E-012
 2.006920000000000E+000, 7.115339999999999E+004, 1.234900000000000E+002, 9.922390000000000E+002, 1.041860000000000E+002,-3.753020000000000E-012
 1.963660000000000E+000, 6.890100000000000E+004, 1.222140000000000E+002, 9.921609999999999E+002, 1.005430000000000E+002, 3.731600000000000E-012
 1.918410000000000E+000, 6.660780000000000E+004, 1.209340000000000E+002, 9.923099999999999E+002, 9.625390000000000E+001,-1.792150000000000E-012
 1.870860000000000E+000, 6.426120000000000E+004, 1.196380000000000E+002, 9.926050000000000E+002, 9.135860000000000E+001,-1.761850000000000E-012
 1.821230000000000E+000, 6.186820000000000E+004, 1.183220000000000E+002, 9.929900000000000E+002, 8.591430000000000E+001, 5.438600000000000E-012
 1.769940000000000E+000, 5.944320000000000E+004, 1.169790000000000E+002, 9.934290000000000E+002, 7.997610000000000E+001,-7.672500000000000E-012
 1.717730000000000E+000, 5.701290000000000E+004, 1.156070000000000E+002, 9.939340000000000E+002, 7.363630000000001E+001, 8.311290000000000E-012
 1.665450000000000E+000, 5.461030000000000E+004, 1.142110000000000E+002, 9.944950000000000E+002, 6.699710000000000E+001,-7.980500000000001E-012
 1.614280000000000E+000, 5.228420000000000E+004, 1.128120000000000E+002, 9.951100000000000E+002, 6.019210000000000E+001, 5.151080000000000E-012
 1.565260000000000E+000, 5.007600000000000E+004, 1.114310000000000E+002, 9.957600000000000E+002, 5.334910000000000E+001, 4.494330000000000E-012
 1.518630000000000E+000, 4.798840000000000E+004, 1.100650000000000E+002, 9.964580000000000E+002, 4.654010000000000E+001,-2.497020000000000E-011
 1.474980000000000E+000, 4.604530000000000E+004, 1.087340000000000E+002, 9.974750000000000E+002, 4.001260000000000E+001, 5.554700000000000E-011
 1.435960000000000E+000, 4.431630000000000E+004, 1.074940000000000E+002, 9.984050000000000E+002, 3.407070000000000E+001,-8.914240000000000E-011
 1.401670000000000E+000, 4.280440000000000E+004, 1.063670000000000E+002, 9.991690000000000E+002, 2.877570000000000E+001, 1.155130000000000E-010
 1.371840000000000E+000, 4.149490000000000E+004, 1.053550000000000E+002, 9.998099999999999E+002, 2.410850000000000E+001,-1.274480000000000E-010
 1.346160000000000E+000, 4.037420000000000E+004, 1.044650000000000E+002, 1.000350000000000E+003, 2.004710000000000E+001, 1.233530000000000E-010
 1.324340000000000E+000, 3.942640000000000E+004, 1.036930000000000E+002, 1.000800000000000E+003, 1.656060000000000E+001,-1.047620000000000E-010
 1.305960000000000E+000, 3.863170000000000E+004, 1.030330000000000E+002, 1.001160000000000E+003, 1.359800000000000E+001, 7.190870000000000E-011
 1.290570000000000E+000, 3.796920000000000E+004, 1.024740000000000E+002, 1.001470000000000E+003, 1.109740000000000E+001,-2.445700000000000E-011
 1.277750000000000E+000, 3.741960000000000E+004, 1.020040000000000E+002, 1.001710000000000E+003, 8.999160000000000E+000,-3.367980000000000E-011
 1.267160000000000E+000, 3.696670000000000E+004, 1.016120000000000E+002, 1.001900000000000E+003, 7.251390000000000E+000, 9.171950000000000E-011
